LahmanPlayerID,Year,UniNo,,,
1117,1985,15,,,
1020,1985,16,,,
12962,1985,17,,,
1019,1985,19,,,
1001,1985,20,,,
1105,1985,21,,,
1189,1985,21,,,
11469,1985,22,,,
1113,1985,23,,,
1232,1985,24,,,
11476,1985,25,,,
1054,1985,27,,,
1047,1985,28,,,
1239,1985,29,,,
1177,1985,31,,,
1203,1985,33,,,
1268,1985,34,,,
1227,1985,35,,,
1204,1985,36,,,
1217,1985,37,,,
1208,1985,38,,,
1210,1985,40,,,
1251,1985,42,,,
1067,1985,43,,,
1255,1985,49,,,
1136,1985,51,,,
1236,1985,54,,,
1169,1985,56,,,
1139,1986,1,,,
1155,1986,2,,,
1026,1986,2,,,
1035,1986,4,,,
1274,1986,5,,,
1045,1986,6,,,
1046,1986,7,,,
1147,1986,8,,,
1071,1986,9,,,
1023,1986,10,,,
1114,1986,11,,,
1049,1986,12,,,
1118,1986,13,,,
1048,1986,14,,,
1117,1986,15,,,
1020,1986,16,,,
12962,1986,17,,,
1292,1986,18,,,
1019,1986,19,,,
1001,1986,20,,,
1105,1986,21,,,
11469,1986,22,,,
1232,1986,24,,,
11476,1986,25,,,
1325,1986,27,,,
1054,1986,27,,,
1192,1986,28,,,
1094,1986,28,,,
1239,1986,29,,,
1177,1986,31,,,
1203,1986,33,,,
1268,1986,34,,,
1227,1986,35,,,
1204,1986,36,,,
11432,1986,37,,,
1187,1986,39,,,
1210,1986,40,,,
1311,1986,41,,,
1251,1986,42,,,
1275,1986,43,,,
1067,1986,44,,,
1273,1986,45,,,
15649,1986,46,,,
1318,1986,47,,,
1136,1986,51,,,
1236,1986,54,,,
1139,1987,1,,,
1155,1987,2,,,
1026,1987,2,,,
1035,1987,4,,,
1045,1987,6,,,
1071,1987,9,,,
1023,1987,10,,,
1114,1987,11,,,
1049,1987,12,,,
1117,1987,15,,,
1020,1987,16,,,
12962,1987,17,,,
1292,1987,18,,,
1019,1987,19,,,
1001,1987,20,,,
1105,1987,21,,,
11469,1987,22,,,
1232,1987,24,,,
11476,1987,25,,,
1325,1987,27,,,
1054,1987,28,,,
1192,1987,28,,,
1239,1987,29,,,
1339,1987,30,,,
1177,1987,31,,,
1203,1987,33,,,
1268,1987,34,,,
1227,1987,35,,,
1204,1987,36,,,
