playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,대학,고교
42726,12726,,,1958,5,18,South Korea,,Gunsan,,,,,,,Sung-han,Kim,,,,178,70,R,R,1982,1995,Dongguk University,,,,,52726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,동국,군산상고
40314,10314,,,1974,5,8,South Korea,,Busan,,,,,,,Kab-yong,Jin,,,,182,71,R,R,1997,2015,Korea University,,,,,50314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,부산고
40189,10189,,,1990,9,8,South Korea,,Seoul,,,,,,,Geon-woo,Park,,,,184,72,R,R,2009,2024,,,,,,50189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,서울고
40892,10892,,,1993,2,12,South Korea,,Daegu,,,,,,,Ja-wook,Koo,,,Lion King,189,74,L,R,2012,2024,,,,,,50892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,대구고
40101,10101,,,1976,2,8,South Korea,,Gwangju,,,,,,,Ho-jun,Lee,,,,187,73,R,R,1994,2017,Honam University,,,,,50101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,호남,광주제일고
31404,1404,,,1966,1,14,South Korea,,Seoul,,,,,,,Eung-guk,Kim,,,,185,72,L,L,1988,2003,Korea University,,,,,41404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,동대문상고
40643,10643,,,1988,9,22,South Korea,,Incheon,,,,,,,Jae-hwan,Kim,,,,183,72,L,R,2008,2024,,,,,,50643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,인천고
31668,1668,,,1973,7,27,South Korea,,Seongnam,,,,,,,Jong-ho,Park,,,,176,69,S,R,1992,2010,,,,,,41668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,성남고
42906,12906,,,1998,8,20,South Korea,,Seoul,,,,,,,Jung-hoo,Lee,,,Grandson of Wind,185,72,L,R,2017,2023,,,,,,52906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,휘문고
40402,10402,,,1971,3,10,South Korea,,Seoul,,,,,,,Soong-yong,Lee,,,Captain,186,73,L,L,1994,2011,Kyung Hee University,,,,,50402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,경희,중앙고
31865,1865,,,1970,8,14,South Korea,,Busan,,,,,,,Hae-young,Ma,,,Mapo,188,74,R,R,1995,2008,Dankook University,,,,,41865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,단국,부산고
40493,10493,,,1980,7,10,South Korea,,Changwon,,,,,,,Taek-geun,Lee,,,,183,72,R,R,2003,2021,Korea University,,,,,50493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,경남상고
40394,10394,,,1987,4,5,South Korea,,Gwangju,,,,,,,Jung-ho,Kang,,,King Kang,183,72,R,R,2006,2014,,,,,,50394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,광주제일고
31867,1867,,,1972,10,18,South Korea,,Seoul,,,,,,,Jae-hak,Sim,,,,183,72,L,L,1995,2008,Korea University,,,,,41867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,충암고
